CustomerID,Age,Gender,Tenure_Months,Contract_Type,Internet_Service,Monthly_Charges,Total_Charges,Support_Calls,Payment_Method,Churn
CUST_0034,39,Female,47,One year,Fiber optic,109.25,5134.75,9,Bank transfer,0
CUST_0035,78,Female,13,Month-to-month,Fiber optic,73.08,950.04,8,Mailed check,1
CUST_0036,61,Female,40,Month-to-month,Fiber optic,68.35,2734.0,0,Credit card,0
CUST_0037,42,Female,68,Month-to-month,Fiber optic,88.95,6048.6,4,Bank transfer,0
CUST_0038,66,Male,42,One year,DSL,115.15,4836.3,4,Bank transfer,1
CUST_0039,44,Male,19,One year,No,31.22,593.18,1,Electronic check,0
CUST_0040,76,Male,19,One year,Fiber optic,103.35,1963.65,0,Credit card,0
CUST_0041,59,Female,58,One year,No,78.4,4547.2,5,Credit card,0
CUST_0042,45,Male,23,Month-to-month,Fiber optic,34.62,796.26,6,Electronic check,1
CUST_0043,77,Male,54,Month-to-month,DSL,49.71,2684.34,8,Bank transfer,0
CUST_0044,33,Male,65,Month-to-month,Fiber optic,68.24,4435.6,7,Credit card,0
CUST_0045,32,Male,12,Month-to-month,DSL,89.12,1069.44,9,Electronic check,1
CUST_0046,79,Male,24,Month-to-month,Fiber optic,44.26,,2,Electronic check,1
CUST_0047,79,Female,34,One year,Fiber optic,73.49,2498.66,8,Bank transfer,1
CUST_0048,64,Male,53,One year,No,88.47,,0,Bank transfer,0
CUST_0049,79,Female,8,Two year,Fiber optic,64.87,518.96,5,Credit card,0
CUST_0050,68,Female,18,Month-to-month,Fiber optic,106.3,,9,Credit card,0
CUST_0051,61,Female,57,One year,DSL,106.95,6096.15,1,Mailed check,0
CUST_0052,72,Female,5,Two year,No,67.07,335.35,9,Bank transfer,1
CUST_0053,69,Female,26,One year,No,117.29,3049.54,8,Mailed check,0
CUST_0054,74,Male,30,Month-to-month,Fiber optic,27.56,826.8,8,Mailed check,1
CUST_0055,20,Male,54,Month-to-month,DSL,20.34,1098.36,7,Electronic check,1
CUST_0056,54,Female,13,Month-to-month,Fiber optic,58.07,754.91,6,Electronic check,0
CUST_0057,68,Female,29,Month-to-month,DSL,80.11,2323.19,5,Credit card,0
CUST_0058,24,Female,3,One year,Fiber optic,82.92,248.76,1,Bank transfer,0
CUST_0059,38,Male,58,Month-to-month,DSL,67.64,3923.12,3,Bank transfer,0
CUST_0060,26,Female,2,Month-to-month,Fiber optic,32.49,64.98,9,Mailed check,1
CUST_0061,56,Male,28,One year,Fiber optic,37.05,1037.4,6,Mailed check,1
CUST_0062,35,Female,2,One year,DSL,105.21,210.42,5,Credit card,0
CUST_0063,21,Male,7,Month-to-month,Fiber optic,106.79,747.53,8,Electronic check,1
CUST_0064,42,Female,26,One year,No,87.39,2272.14,4,Bank transfer,0
CUST_0065,77,Male,16,Month-to-month,DSL,86.42,1382.72,5,Bank transfer,0
CUST_0066,31,Female,23,Month-to-month,Fiber optic,79.77,1834.71,9,Bank transfer,0
CUST_0067,67,Male,40,Month-to-month,DSL,40.29,1611.6,5,Bank transfer,0
CUST_0068,75,Male,60,One year,DSL,62.83,3769.8,7,Electronic check,0
CUST_0069,26,Male,32,Two year,DSL,89.59,2866.88,7,Credit card,0
CUST_0070,43,Male,15,Month-to-month,Fiber optic,73.73,1105.95,5,Credit card,0
CUST_0071,70,Male,13,One year,Fiber optic,21.86,284.18,7,Electronic check,0
CUST_0072,19,Male,5,Month-to-month,No,115.36,576.8,6,Credit card,1
CUST_0073,37,Male,52,One year,Fiber optic,104.48,5432.96,0,Credit card,0
CUST_0074,45,Female,41,Month-to-month,DSL,46.05,1888.05,4,Mailed check,0
CUST_0075,64,Female,53,Month-to-month,Fiber optic,81.65,4327.45,9,Electronic check,0
CUST_0076,77,Female,50,Two year,DSL,112.32,5616.0,9,Credit card,0
CUST_0077,24,Female,15,One year,Fiber optic,29.6,444.0,9,Mailed check,0
CUST_0078,61,Female,7,Month-to-month,DSL,70.3,492.1,4,Electronic check,1
CUST_0079,78,Male,40,Month-to-month,DSL,65.62,2624.8,9,Electronic check,1
CUST_0080,25,Male,28,Month-to-month,Fiber optic,61.02,1708.56,8,Bank transfer,1
CUST_0081,64,Male,32,Month-to-month,No,103.56,3313.92,6,Mailed check,0
CUST_0082,52,Male,15,Two year,DSL,58.06,870.9,6,Mailed check,0
CUST_0083,31,Male,70,Two year,No,26.37,1845.9,9,Mailed check,1
CUST_0084,34,Female,65,Month-to-month,DSL,26.58,1727.7,1,Electronic check,0
CUST_0085,53,Female,4,Month-to-month,No,24.27,97.08,7,Bank transfer,1
CUST_0086,67,Female,11,Two year,Fiber optic,60.91,670.01,2,Electronic check,1
CUST_0087,57,Female,26,Month-to-month,DSL,91.84,2387.84,8,Credit card,1
CUST_0088,21,Male,61,One year,DSL,40.37,2462.57,5,Credit card,0
CUST_0089,19,Male,37,Month-to-month,DSL,84.65,3132.05,8,Credit card,1
CUST_0090,79,Male,23,One year,DSL,88.71,2040.33,8,Bank transfer,1
CUST_0091,23,Female,40,One year,DSL,45.52,1820.8,6,Electronic check,0
CUST_0092,71,Male,23,Two year,Fiber optic,80.06,1841.38,9,Mailed check,1
CUST_0093,59,Female,16,One year,No,88.49,1415.84,7,Credit card,0
CUST_0094,21,Male,61,Month-to-month,DSL,66.66,4066.26,1,Credit card,0
CUST_0095,71,Male,68,One year,Fiber optic,53.67,3649.56,4,Electronic check,0
CUST_0096,46,Female,31,Two year,Fiber optic,81.92,2539.52,2,Mailed check,0
CUST_0097,35,Male,53,Month-to-month,No,117.78,6242.34,0,Bank transfer,1
CUST_0098,43,Male,25,Month-to-month,Fiber optic,62.68,1567.0,5,Credit card,0
CUST_0099,61,Female,44,Month-to-month,Fiber optic,59.17,2603.48,8,Credit card,1
CUST_0100,51,Male,12,Month-to-month,Fiber optic,66.43,797.16,1,Credit card,0
CUST_0101,27,Female,9,Month-to-month,DSL,27.62,248.58,8,Mailed check,1
CUST_0102,79,Male,12,One year,DSL,75.32,903.84,7,Credit card,0
CUST_0103,53,Male,69,Month-to-month,Fiber optic,52.87,3648.03,8,Mailed check,0
CUST_0104,31,Male,54,Two year,DSL,32.14,1735.56,4,Credit card,1
CUST_0105,48,Male,54,Month-to-month,Fiber optic,66.63,3598.02,1,Credit card,0
CUST_0106,65,Male,28,Month-to-month,DSL,20.34,569.52,9,Mailed check,1
CUST_0107,32,Male,56,Month-to-month,Fiber optic,60.18,3370.08,9,Mailed check,1
CUST_0108,25,Male,69,Month-to-month,DSL,30.57,2109.33,5,Bank transfer,0
CUST_0109,31,Male,58,Month-to-month,No,22.43,1300.94,6,Electronic check,1
CUST_0110,40,Female,42,Month-to-month,No,102.45,4302.9,2,Credit card,1
CUST_0111,77,Female,38,Month-to-month,DSL,111.62,4241.56,5,Credit card,0
CUST_0112,74,Male,68,One year,DSL,40.77,2772.36,5,Electronic check,0
CUST_0113,79,Male,53,One year,Fiber optic,73.93,3918.29,7,Electronic check,0
CUST_0114,57,Female,33,Month-to-month,DSL,47.8,1577.4,0,Electronic check,1
CUST_0115,38,Male,71,One year,DSL,69.36,4924.56,3,Credit card,0
CUST_0116,33,Male,56,One year,DSL,63.66,3564.96,0,Credit card,0
CUST_0117,62,Female,51,Month-to-month,No,46.91,2392.41,7,Credit card,0
CUST_0118,35,Male,43,Two year,No,90.04,3871.72,1,Mailed check,0
CUST_0119,64,Male,15,Two year,Fiber optic,32.65,489.75,7,Bank transfer,1
CUST_0120,70,Female,38,Month-to-month,Fiber optic,25.31,961.78,2,Bank transfer,1
CUST_0121,41,Male,15,Month-to-month,No,96.77,1451.55,7,Electronic check,1
CUST_0122,43,Male,5,Month-to-month,No,86.59,432.95,5,Electronic check,1
CUST_0123,42,Female,54,Month-to-month,No,69.85,3771.9,0,Credit card,1
CUST_0124,77,Male,51,One year,DSL,66.78,3405.78,6,Bank transfer,0
CUST_0125,77,Female,10,Month-to-month,DSL,69.74,697.4,6,Bank transfer,1
CUST_0126,77,Male,12,One year,Fiber optic,63.7,764.4,5,Mailed check,0
CUST_0127,62,Male,4,One year,Fiber optic,59.29,237.16,0,Credit card,1
CUST_0128,58,Female,18,One year,DSL,69.97,1259.46,4,Credit card,0
CUST_0129,46,Female,36,One year,DSL,72.85,2622.6,0,Bank transfer,0
CUST_0130,32,Male,25,Month-to-month,No,89.19,2229.75,0,Bank transfer,0
CUST_0131,62,Female,36,Month-to-month,No,91.12,3280.32,5,Mailed check,1
CUST_0132,18,Female,67,One year,DSL,57.76,3869.92,7,Mailed check,1
CUST_0133,42,Male,9,Month-to-month,No,61.35,552.15,0,Credit card,0
CUST_0134,24,Male,61,Month-to-month,Fiber optic,57.37,3499.57,1,Mailed check,0
CUST_0135,26,Male,53,Two year,No,73.65,3903.45,4,Bank transfer,0
CUST_0136,41,Female,18,One year,Fiber optic,65.34,1176.12,7,Credit card,0
CUST_0137,18,Female,43,Month-to-month,DSL,108.96,,3,Bank transfer,0
CUST_0138,61,Female,35,One year,Fiber optic,89.64,3137.4,4,Credit card,0
CUST_0139,25,Female,63,One year,Fiber optic,109.87,6921.81,9,Credit card,0
CUST_0140,41,Male,4,Month-to-month,Fiber optic,90.91,363.64,4,Bank transfer,1
CUST_0141,28,Female,41,Month-to-month,DSL,117.1,4801.1,2,Credit card,1
CUST_0142,68,Male,45,Two year,No,83.57,3760.65,5,Credit card,0
CUST_0143,34,Female,50,Month-to-month,DSL,116.36,5818.0,4,Mailed check,0
CUST_0144,25,Male,28,Month-to-month,DSL,35.82,1002.96,1,Bank transfer,0
CUST_0145,52,Male,42,Month-to-month,Fiber optic,25.25,1060.5,9,Bank transfer,1
CUST_0146,52,Male,69,One year,Fiber optic,77.91,5375.79,3,Mailed check,0
CUST_0147,50,Female,1,Month-to-month,Fiber optic,118.35,118.35,3,Credit card,0
CUST_0148,76,Male,39,Month-to-month,Fiber optic,61.76,2408.64,6,Electronic check,1
CUST_0149,22,Male,17,Month-to-month,Fiber optic,41.2,700.4,6,Electronic check,0
CUST_0150,59,Female,35,Two year,Fiber optic,72.15,2525.25,8,Bank transfer,0
CUST_0151,56,Male,46,Month-to-month,Fiber optic,84.88,3904.48,9,Mailed check,0
CUST_0152,75,Female,42,One year,DSL,51.52,2163.84,1,Credit card,0
CUST_0153,58,Female,39,Two year,Fiber optic,91.48,3567.72,5,Mailed check,0
CUST_0154,45,Male,49,Month-to-month,No,117.51,5757.99,1,Credit card,1
CUST_0155,24,Male,62,Two year,DSL,109.7,6801.4,8,Bank transfer,0
CUST_0156,26,Female,38,Two year,Fiber optic,49.16,1868.08,1,Bank transfer,0
CUST_0157,25,Male,23,Two year,No,52.67,1211.41,5,Electronic check,0
CUST_0158,29,Female,22,Month-to-month,DSL,57.15,1257.3,7,Mailed check,1
CUST_0159,51,Female,4,One year,Fiber optic,59.46,,5,Bank transfer,0
CUST_0160,50,Female,49,One year,No,30.03,1471.47,2,Mailed check,0
CUST_0161,65,Male,59,Two year,DSL,96.2,5675.8,4,Bank transfer,0
CUST_0162,72,Female,68,Month-to-month,DSL,56.53,3844.04,3,Credit card,0
CUST_0163,40,Male,71,One year,No,107.98,7666.58,0,Credit card,0
CUST_0164,79,Male,2,Month-to-month,No,112.69,225.38,4,Electronic check,0
CUST_0165,41,Male,49,Month-to-month,Fiber optic,22.44,1099.56,9,Bank transfer,0
CUST_0166,54,Male,31,Month-to-month,Fiber optic,118.85,3684.35,4,Electronic check,1
CUST_0167,52,Female,40,One year,No,91.0,3640.0,6,Electronic check,1
CUST_0168,61,Male,48,Month-to-month,Fiber optic,72.04,3457.92,6,Bank transfer,1
CUST_0169,57,Female,51,One year,DSL,58.95,3006.45,1,Bank transfer,1
CUST_0170,39,Female,43,Two year,DSL,71.85,3089.55,3,Credit card,0
CUST_0171,44,Male,55,Month-to-month,Fiber optic,52.46,2885.3,0,Electronic check,0
CUST_0172,52,Female,49,One year,No,82.27,4031.23,4,Credit card,1
CUST_0173,18,Female,57,Month-to-month,No,29.3,1670.1,4,Mailed check,0
CUST_0174,52,Male,15,Month-to-month,No,82.11,1231.65,3,Mailed check,0
CUST_0175,54,Female,27,One year,No,47.53,1283.31,9,Electronic check,0
CUST_0176,64,Female,68,Two year,Fiber optic,21.76,1479.68,6,Electronic check,0
CUST_0177,31,Female,64,One year,Fiber optic,75.27,4817.28,5,Bank transfer,0
CUST_0178,20,Female,30,One year,Fiber optic,77.84,2335.2,9,Bank transfer,0
CUST_0179,18,Male,36,Month-to-month,Fiber optic,62.66,2255.76,2,Electronic check,0
CUST_0180,22,Female,67,Month-to-month,Fiber optic,27.23,1824.41,1,Electronic check,0
CUST_0181,43,Female,49,One year,DSL,109.33,5357.17,3,Mailed check,0
CUST_0182,72,Female,55,Month-to-month,No,81.14,4462.7,8,Credit card,0
CUST_0183,31,Female,56,Month-to-month,Fiber optic,31.57,1767.92,9,Mailed check,0
CUST_0184,56,Male,68,One year,DSL,71.09,4834.12,4,Mailed check,0
CUST_0185,44,Female,44,Month-to-month,Fiber optic,69.73,3068.12,0,Credit card,0
CUST_0186,26,Male,31,Month-to-month,Fiber optic,26.04,807.24,2,Electronic check,0
CUST_0187,32,Female,58,One year,DSL,80.69,4680.02,8,Electronic check,0
CUST_0188,32,Male,53,One year,No,100.83,5343.99,6,Mailed check,0
CUST_0189,43,Male,23,Two year,DSL,94.9,2182.7,2,Mailed check,0
CUST_0190,59,Male,28,One year,DSL,40.3,1128.4,0,Credit card,1
CUST_0191,77,Male,16,Month-to-month,Fiber optic,106.23,1699.68,3,Bank transfer,1
CUST_0192,30,Male,37,Two year,Fiber optic,54.25,2007.25,8,Bank transfer,1
CUST_0193,68,Female,21,One year,No,114.65,2407.65,6,Electronic check,1
CUST_0194,49,Female,17,Month-to-month,No,27.17,461.89,4,Bank transfer,0
CUST_0195,56,Female,37,Month-to-month,No,68.62,2538.94,5,Electronic check,1
CUST_0196,66,Male,19,One year,DSL,79.71,1514.49,0,Electronic check,0
CUST_0197,69,Female,30,One year,DSL,44.77,1343.1,6,Electronic check,0
CUST_0198,78,Male,45,One year,Fiber optic,97.14,4371.3,4,Credit card,0
CUST_0199,49,Male,18,One year,DSL,82.69,1488.42,6,Mailed check,1
CUST_0200,21,Female,62,One year,No,21.81,1352.22,4,Bank transfer,0
CUST_0201,47,Female,36,Two year,Fiber optic,80.84,2910.24,4,Credit card,1
CUST_0202,54,Male,52,One year,No,69.15,3595.8,2,Bank transfer,0
CUST_0203,40,Male,19,Month-to-month,DSL,39.6,752.4,4,Credit card,0
CUST_0204,56,Female,44,Two year,Fiber optic,119.57,5261.08,7,Bank transfer,0
CUST_0205,62,Female,7,Month-to-month,Fiber optic,109.72,768.04,7,Bank transfer,1
CUST_0206,32,Female,44,One year,DSL,49.25,2167.0,1,Mailed check,0
CUST_0207,60,Female,68,Two year,Fiber optic,74.11,5039.48,0,Bank transfer,0
CUST_0208,46,Male,34,One year,Fiber optic,51.65,1756.1,1,Credit card,0
CUST_0209,53,Female,66,One year,Fiber optic,97.55,6438.3,6,Bank transfer,0
CUST_0210,30,Female,69,Month-to-month,DSL,113.03,7799.07,2,Mailed check,0
CUST_0211,49,Female,55,Month-to-month,DSL,55.88,3073.4,7,Bank transfer,1
CUST_0212,24,Male,10,Month-to-month,Fiber optic,100.56,1005.6,3,Credit card,0
CUST_0213,76,Male,42,One year,DSL,69.84,2933.28,9,Bank transfer,1
CUST_0214,68,Male,41,One year,DSL,59.66,2446.06,9,Mailed check,1
CUST_0215,39,Male,69,One year,DSL,113.84,7854.96,7,Mailed check,0
CUST_0216,45,Female,10,Month-to-month,DSL,71.04,710.4,1,Mailed check,1
CUST_0217,19,Male,10,Month-to-month,DSL,66.74,667.4,4,Mailed check,1
CUST_0218,59,Female,60,One year,DSL,87.24,5234.4,5,Electronic check,1
CUST_0219,62,Female,51,Month-to-month,Fiber optic,46.12,2352.12,0,Mailed check,0
CUST_0220,79,Female,21,One year,Fiber optic,52.48,1102.08,0,Bank transfer,0
CUST_0221,74,Female,8,One year,Fiber optic,113.2,905.6,8,Bank transfer,0
CUST_0222,70,Male,65,One year,No,87.85,5710.25,4,Bank transfer,0
CUST_0223,23,Male,30,Month-to-month,Fiber optic,102.66,3079.8,3,Bank transfer,0
CUST_0224,45,Male,49,Two year,Fiber optic,47.11,2308.39,0,Electronic check,0
CUST_0225,45,Female,9,Month-to-month,No,74.38,669.42,2,Electronic check,0
CUST_0226,61,Female,17,Two year,Fiber optic,117.14,1991.38,3,Electronic check,0
CUST_0227,61,Female,69,Month-to-month,Fiber optic,51.87,3579.03,4,Bank transfer,0
CUST_0228,37,Female,58,Month-to-month,Fiber optic,36.05,2090.9,9,Credit card,1
CUST_0229,47,Female,57,Two year,Fiber optic,71.09,4052.13,4,Credit card,0
CUST_0230,79,Male,62,Month-to-month,Fiber optic,58.78,3644.36,9,Bank transfer,0
CUST_0231,28,Female,52,One year,DSL,35.96,1869.92,7,Mailed check,1
CUST_0232,75,Male,61,Two year,DSL,108.86,6640.46,2,Mailed check,0
CUST_0233,72,Female,40,Two year,DSL,119.07,4762.8,6,Bank transfer,0
CUST_0234,45,Female,38,Two year,DSL,76.86,2920.68,5,Mailed check,0
CUST_0235,42,Male,43,Month-to-month,DSL,97.47,4191.21,9,Mailed check,0
CUST_0236,56,Male,63,One year,Fiber optic,105.9,6671.7,9,Credit card,1
CUST_0237,79,Female,19,Month-to-month,Fiber optic,90.1,1711.9,9,Bank transfer,0
CUST_0238,50,Female,50,Month-to-month,Fiber optic,24.42,1221.0,5,Electronic check,0
CUST_0239,18,Female,33,Two year,DSL,35.76,1180.08,9,Credit card,0
CUST_0240,74,Female,13,Month-to-month,No,27.1,352.3,8,Bank transfer,1
CUST_0241,44,Male,62,One year,Fiber optic,20.99,1301.38,6,Bank transfer,1
CUST_0242,79,Female,43,One year,DSL,50.6,2175.8,6,Credit card,0
CUST_0243,74,Male,49,One year,No,59.24,2902.76,0,Mailed check,0
CUST_0244,69,Female,36,Two year,Fiber optic,44.1,1587.6,0,Mailed check,0
CUST_0245,30,Male,10,Month-to-month,Fiber optic,26.46,264.6,8,Credit card,1
CUST_0246,58,Male,6,One year,DSL,72.99,437.94,8,Bank transfer,1
CUST_0247,20,Female,57,Two year,Fiber optic,47.33,2697.81,9,Electronic check,0
CUST_0248,56,Male,1,Month-to-month,No,99.6,99.6,2,Bank transfer,0
CUST_0249,23,Female,71,Month-to-month,Fiber optic,20.81,1477.51,7,Electronic check,1
CUST_0250,25,Male,58,One year,Fiber optic,104.25,6046.5,8,Electronic check,1
CUST_0251,44,Female,21,Month-to-month,Fiber optic,115.48,2425.08,0,Bank transfer,0
CUST_0252,26,Male,56,Month-to-month,No,91.61,5130.16,2,Bank transfer,0
CUST_0253,79,Female,20,Two year,DSL,93.36,1867.2,5,Bank transfer,0
CUST_0254,54,Female,54,One year,Fiber optic,113.36,6121.44,3,Electronic check,0
CUST_0255,50,Male,25,Two year,DSL,40.91,1022.75,7,Mailed check,1
CUST_0256,68,Male,28,Two year,Fiber optic,119.46,3344.88,8,Electronic check,0
CUST_0257,59,Male,5,One year,Fiber optic,97.35,486.75,6,Electronic check,0
CUST_0258,61,Male,21,Month-to-month,DSL,92.66,1945.86,0,Electronic check,0
CUST_0259,41,Female,18,Month-to-month,Fiber optic,56.11,1009.98,1,Credit card,0
CUST_0260,32,Male,47,Month-to-month,Fiber optic,74.58,3505.26,0,Mailed check,0
CUST_0261,76,Female,70,Two year,DSL,85.39,5977.3,8,Electronic check,0
CUST_0262,71,Male,57,Month-to-month,Fiber optic,82.03,4675.71,3,Electronic check,0
CUST_0263,49,Female,19,Month-to-month,DSL,90.5,1719.5,9,Credit card,1
CUST_0264,49,Female,65,One year,Fiber optic,28.24,1835.6,7,Electronic check,0
CUST_0265,41,Female,3,Month-to-month,DSL,55.56,166.68,4,Mailed check,0
CUST_0266,58,Female,42,Month-to-month,Fiber optic,63.4,2662.8,4,Electronic check,0
CUST_0267,69,Male,21,One year,Fiber optic,46.06,967.26,4,Mailed check,0
CUST_0268,66,Male,40,Month-to-month,Fiber optic,37.26,1490.4,4,Mailed check,0
CUST_0269,79,Female,67,Month-to-month,DSL,33.89,2270.63,2,Bank transfer,1
CUST_0270,66,Male,25,Month-to-month,No,56.64,1416.0,5,Credit card,1
CUST_0271,75,Male,55,One year,Fiber optic,69.34,3813.7,0,Credit card,0
CUST_0272,69,Female,52,One year,DSL,26.3,1367.6,7,Credit card,0
CUST_0273,29,Male,44,Month-to-month,No,114.65,5044.6,3,Bank transfer,1
CUST_0274,79,Male,56,One year,DSL,96.52,5405.12,5,Bank transfer,0
CUST_0275,56,Male,55,Month-to-month,Fiber optic,93.09,5119.95,1,Mailed check,0
CUST_0276,19,Female,70,Two year,Fiber optic,37.29,2610.3,1,Credit card,0
CUST_0277,20,Male,66,Month-to-month,Fiber optic,80.38,5305.08,7,Bank transfer,0
CUST_0278,66,Female,19,One year,No,72.97,1386.43,0,Bank transfer,1
CUST_0279,54,Male,7,Two year,Fiber optic,118.25,827.75,7,Bank transfer,0
CUST_0280,66,Male,63,Two year,DSL,94.77,5970.51,9,Mailed check,0
CUST_0281,73,Male,42,Month-to-month,No,77.58,3258.36,9,Electronic check,1
CUST_0282,34,Female,42,Month-to-month,No,105.08,4413.36,0,Bank transfer,0
CUST_0283,76,Female,59,One year,Fiber optic,35.51,2095.09,8,Bank transfer,1
CUST_0284,66,Male,20,Month-to-month,Fiber optic,21.52,430.4,0,Bank transfer,0
CUST_0285,19,Female,17,Two year,DSL,89.02,1513.34,3,Credit card,0
CUST_0286,19,Male,27,One year,Fiber optic,29.83,805.41,8,Credit card,0
CUST_0287,45,Female,47,One year,DSL,31.54,1482.38,0,Bank transfer,0
CUST_0288,71,Female,2,Month-to-month,DSL,94.47,188.94,8,Mailed check,1
CUST_0289,40,Male,63,One year,Fiber optic,47.05,2964.15,7,Electronic check,0
CUST_0290,54,Male,62,One year,DSL,82.86,5137.32,4,Credit card,1
CUST_0291,49,Male,19,Two year,DSL,111.74,2123.06,5,Electronic check,1
CUST_0292,50,Male,17,Month-to-month,Fiber optic,51.65,878.05,4,Bank transfer,1
CUST_0293,18,Female,69,Month-to-month,DSL,41.71,2877.99,3,Credit card,0
CUST_0294,36,Female,39,Month-to-month,DSL,30.66,1195.74,9,Electronic check,0
CUST_0295,79,Female,71,Month-to-month,DSL,33.05,2346.55,3,Bank transfer,0
CUST_0296,19,Male,39,One year,DSL,26.22,1022.58,9,Credit card,0
CUST_0297,70,Male,36,Two year,Fiber optic,28.76,1035.36,7,Bank transfer,1
CUST_0298,61,Female,40,Month-to-month,No,63.2,2528.0,7,Credit card,0
CUST_0299,43,Male,45,Two year,Fiber optic,52.09,2344.05,8,Electronic check,0
CUST_0300,49,Female,4,Month-to-month,Fiber optic,90.66,362.64,2,Electronic check,0
CUST_0301,23,Female,25,Month-to-month,DSL,107.02,2675.5,9,Credit card,1
CUST_0302,49,Female,69,Month-to-month,DSL,98.48,6795.12,7,Mailed check,1
CUST_0303,72,Female,30,Month-to-month,DSL,73.06,2191.8,2,Bank transfer,0
CUST_0304,21,Female,68,Two year,Fiber optic,30.24,2056.32,1,Electronic check,1
CUST_0305,72,Male,29,Month-to-month,Fiber optic,90.98,2638.42,1,Mailed check,1
CUST_0306,28,Male,68,One year,Fiber optic,56.28,3827.04,8,Credit card,0
CUST_0307,73,Male,51,Month-to-month,DSL,28.57,1457.07,3,Electronic check,1
CUST_0308,76,Female,24,Two year,DSL,104.25,2502.0,4,Electronic check,1
CUST_0309,34,Female,14,Month-to-month,Fiber optic,53.82,753.48,1,Bank transfer,0
CUST_0310,55,Female,69,Month-to-month,DSL,41.82,2885.58,8,Mailed check,0
CUST_0311,41,Female,18,Month-to-month,Fiber optic,107.15,1928.7,6,Bank transfer,1
CUST_0312,22,Male,42,Month-to-month,Fiber optic,110.21,4628.82,2,Credit card,1
CUST_0313,69,Male,57,Month-to-month,Fiber optic,53.9,3072.3,5,Electronic check,0
CUST_0314,51,Female,12,Two year,No,55.48,665.76,6,Mailed check,0
CUST_0315,23,Female,17,One year,No,77.96,1325.32,5,Bank transfer,0
CUST_0316,39,Female,30,One year,Fiber optic,93.34,2800.2,9,Mailed check,0
CUST_0317,28,Male,23,One year,Fiber optic,26.31,605.13,9,Credit card,1
CUST_0318,65,Male,1,Month-to-month,DSL,79.33,79.33,5,Electronic check,0
CUST_0319,33,Male,32,Month-to-month,No,115.28,3688.96,7,Mailed check,0
CUST_0320,50,Female,9,Two year,Fiber optic,46.21,415.89,7,Credit card,1
CUST_0321,26,Female,15,Two year,DSL,110.88,1663.2,4,Credit card,0
CUST_0322,77,Male,28,Two year,Fiber optic,115.02,3220.56,3,Electronic check,1
CUST_0323,76,Female,24,Two year,DSL,46.92,1126.08,4,Bank transfer,0
